nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit,women,men
CK One Collector's Edition Calvin Klein for women,for women, - citrus - fresh spicy - powdery - green - rose - floral - musky - aromatic - fresh - violet, 50%, 12.6812%, 37.3188%, 69.4444%, 100%, 5.55556%, 19.4444%, 5.55556%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CK One Collector's Edition Calvin Klein for women and men,for women and men, - woody - citrus - powdery - tropical - green - aromatic - musky - sweet - floral - fresh, 66.2304%, 17.801%, 15.9686%, 51.3514%, 100%, 43.2432%, 27.027%, 2.7027%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Ck One Graffiti Calvin Klein for women and men,for women and men, - tropical - sweet - fresh spicy - powdery - citrus - amber - fresh - floral - musky - fruity, 6.89655%, 12.6437%, 80.4598%, 10%, 100%, 0%, 0%, 10%,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Eternity Parfum For Men Calvin Klein for men,for men, - vanilla - rum - lavender - sweet - powdery - woody - aromatic, 39.2694%, 9.58904%, 51.1416%, 95.3125%, 100%, 42.1875%, 26.5625%, 25%,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Truth Calvin Klein for women,for women, - floral - woody - green - citrus - sweet - powdery - white floral - aromatic - earthy - fresh, 43.5087%, 36.6462%, 19.8451%, 67.1362%, 100%, 8.55503%, 29.4731%, 1.35629%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Carita Eau de Parfum Carita for women,for women, - powdery - vanilla - violet - floral - iris - musky - rose, 30.5556%, 16.6667%, 52.7778%, 100%, 82.4561%, 1.75439%, 21.0526%, 1.75439%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
212 Carolina Herrera for women,for women, - white floral - floral - citrus - powdery - musky - green, 36.3799%, 47.0513%, 16.5688%, 66.3005%, 100%, 6.9439%, 30.7179%, 1.53001%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
212 Heroes Forever Young Carolina Herrera for women,for women, - fruity - white floral - sweet - citrus - woody - powdery, 46.7179%, 7.61173%, 45.6704%, 98.1818%, 100%, 46.0606%, 29.697%, 4.84848%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
212 Men Carolina Herrera for men,for men, - citrus - green - warm spicy - aromatic - woody - powdery - fresh spicy - musky - lavender - violet, 44.6389%, 36.7174%, 18.6438%, 95.4943%, 100%, 7.6175%, 20.9724%, 1.49109%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
212 Men Aqua Carolina Herrera for men,for men, - woody - warm spicy - aromatic - citrus - marine - amber - musky - earthy - powdery - fresh spicy, 45.6086%, 22.8043%, 31.5871%, 100%, 92.9578%, 5.6338%, 32.3944%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
212 Men Silver Carolina Herrera for men,for men, - warm spicy - green - fresh - musky - woody - white floral - powdery - amber - smoky - balsamic, 27.027%, 16.2162%, 56.7568%, 100%, 0%, 0%, 14.2857%, 0%,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
212 NYC Men Pills Carolina Herrera for men,for men, - woody - aromatic - green - warm spicy - citrus - powdery - amber - violet - herbal - white floral, 30.7692%, 23.8462%, 45.3846%, 100%, 94.4444%, 5.55556%, 11.1111%, 0%,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
212 NYC Pills Carolina Herrera for women,for women, - white floral - floral - citrus - green - powdery - musky - rose - fresh, 32.6797%, 22.2222%, 45.098%, 80%, 100%, 10%, 25%, 0%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
212 Sexy Men Carolina Herrera for men,for men, - vanilla - woody - powdery - warm spicy - fresh spicy - citrus - floral - aromatic - musky - amber, 44.1069%, 37.771%, 18.1221%, 73.1544%, 100%, 10.8221%, 34.7315%, 2.43289%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
212 Sexy Men Pills Carolina Herrera for men,for men, - vanilla - warm spicy - woody - powdery - citrus - fresh spicy - amber - aromatic - floral - sweet, 25.8065%, 17.2043%, 56.9892%, 100%, 33.3333%, 0%, 16.6667%, 0%,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
212 Summer Cocktail Carolina Herrera for women,for women, - citrus - fruity - white floral - sweet - woody - floral - fresh - vodka - powdery, 6.66667%, 17.7778%, 75.5556%, 100%, 20%, 0%, 40%, 20%,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
212 VIP Carolina Herrera for women,for women, - vanilla - rum - sweet - tropical - fruity - white floral - powdery - musky - woody - fresh, 41.5472%, 36.0307%, 22.4221%, 56.8932%, 100%, 6.95146%, 36.0777%, 1.32039%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
212 VIP Pills Carolina Herrera for women,for women, - vanilla - musky - white floral - sweet - amber - powdery - aromatic - rum - warm spicy - animalic, 29.2517%, 10.8844%, 59.8639%, 53.3333%, 100%, 6.66667%, 33.3333%, 0%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Chic Carolina Herrera for women,for women, - white floral - floral - tuberose - rose - citrus - powdery - musky - green, 28.7523%, 58.771%, 12.4767%, 45.515%, 100%, 3.8206%, 29.9003%, 0.830565%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Le Baiser Du Dragon Cartier for women,for women, - almond - woody - fruity - amber - earthy - warm spicy - patchouli - sweet - aromatic - white floral, 42.6203%, 21.9057%, 35.474%, 100%, 91.2271%, 5.00538%, 34.93%, 1.02261%,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Le Baiser Du Dragon Parfum Cartier for women,for women, - almond - woody - amber - fruity - warm spicy - sweet - earthy - caramel - white floral - chocolate, 46.9697%, 12.6263%, 40.404%, 100%, 24.2424%, 10.6061%, 4.54545%, 1.51515%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Must II Cartier for women,for women, - woody - aromatic - green - floral - citrus - earthy - powdery - white floral - yellow floral - mossy, 39.4177%, 34.6025%, 25.9798%, 100%, 84.2105%, 0%, 19.7368%, 0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Panthere Cartier for women,for women, - white floral - woody - warm spicy - floral - amber - powdery - animalic - citrus - musky - yellow floral, 43.4193%, 21.6878%, 34.8929%, 100%, 75.1351%, 5.13514%, 20.2703%, 1.62162%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Eau Des Vignes Caudalie for women,for women, - citrus - powdery - iris - musky - fresh spicy - violet - aromatic - earthy - woody - floral, 49.4432%, 18.7082%, 31.8486%, 67.1233%, 100%, 31.5068%, 15.0685%, 1.36986%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Agar Royal Chopard for women and men,for women and men, - oud - woody - white floral - earthy - fresh spicy - citrus - animalic - aromatic, 40.5676%, 5.00835%, 54.424%, 100%, 75.3087%, 19.7531%, 12.3457%, 0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aigle Imperial Chopard for women and men,for women and men, - oud - woody - aquatic - warm spicy - patchouli - fresh - amber - green - powdery - citrus, 33.9943%, 11.6147%, 54.3909%, 100%, 51.1111%, 24.4444%, 15.5556%, 6.66667%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bois Nomades Chopard for women and men,for women and men, - amber - woody - warm spicy - rose - balsamic - fresh spicy - sweet - earthy - oud - tobacco, 20.6704%, 2.23464%, 77.095%, 100%, 58.8235%, 29.4118%, 17.6471%, 11.7647%,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
