nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Lotus Oud Lotus for women and men,for women and men, - woody - amber - warm spicy - aromatic - oud - sweet - vanilla - powdery - earthy - balsamic, 5.88235%, 5.88235%, 88.2353%, 83.3333%, 16.6667%, 0%, 100%, 16.6667%, 100%, 71.4286%, 57.1429%, 85.7143%, 71.4286%, 85.7143%
Daisy Marc Jacobs for women,for women, - white floral - ozonic - powdery - violet - citrus - aquatic - fruity - sweet - woody - musky, 46.8792%, 30.7988%, 22.322%, 53.6484%, 100%, 14.2133%, 36.864%, 2.11841%, 8.96829%, 88.7837%, 69.4983%, 17.0611%, 100%, 10.601%
Daisy 10th Anniversary Edition Marc Jacobs for women,for women, - violet - powdery - white floral - fruity - ozonic - sweet - aquatic - floral - citrus - woody, 35.3742%, 11.5646%, 53.0612%, 80%, 100%, 13.3333%, 26.6667%, 0%, 33.3333%, 83.3333%, 25%, 33.3333%, 100%, 25%
Daisy 10th Anniversary Luxury Edition Marc Jacobs for women,for women, - violet - fruity - ozonic - powdery - aquatic - sweet - floral - green - white floral - fresh, 9.61539%, 7.69231%, 82.6923%, 100%, 33.3333%, 0%, 33.3333%, 0%, 33.3333%, 50%, 0%, 33.3333%, 100%, 16.6667%
Daisy Anniversary Edition Marc Jacobs for women,for women, - white floral - powdery - fruity - ozonic - sweet - violet - woody - musky - aquatic - citrus, 57.0506%, 25.4037%, 17.5457%, 87.5%, 100%, 45%, 27.5%, 7.5%, 10.5263%, 80.7018%, 75.4386%, 17.5439%, 100%, 12.2807%
Daisy Black Edition Marc Jacobs for women,for women, - white floral - powdery - ozonic - violet - aquatic - citrus - woody - fruity - sweet - musky, 36.0586%, 29.4639%, 34.4774%, 74.9057%, 100%, 4.90566%, 18.4906%, 0%, 21.1429%, 82%, 66%, 42.2857%, 100%, 36%
Daisy Daze Marc Jacobs for women,for women, - citrus - musky - fruity - powdery - sweet, 43.6409%, 11.7207%, 44.6384%, 23.8095%, 100%, 15.873%, 15.873%, 1.5873%, 2.08333%, 87.5%, 100%, 14.5833%, 97.9167%, 6.25%
Daisy Dream Marc Jacobs for women,for women, - fruity - floral - fresh - sweet - musky - white floral - citrus - fresh spicy - tropical - aquatic, 50.7603%, 24.8515%, 24.3882%, 45.0404%, 100%, 18.1084%, 28.5467%, 1.21107%, 8.97626%, 90.3561%, 79.822%, 12.3145%, 100%, 7.49258%
Daisy Dream Daze Marc Jacobs for women,for women, - fresh - floral - fruity - musky - sweet - fresh spicy - powdery, 45.0151%, 8.76133%, 46.2236%, 45.7143%, 100%, 20%, 31.4286%, 5.71429%, 3.22581%, 100%, 80.6452%, 22.5806%, 90.3226%, 6.45161%
Daisy Dream Forever Marc Jacobs for women,for women, - fruity - fresh - floral - sweet - white floral - tropical, 42.6623%, 19.4805%, 37.8571%, 57.1895%, 100%, 15.3595%, 31.3726%, 2.28758%, 20.4348%, 86.087%, 70%, 25.2174%, 100%, 22.6087%
Daisy Dream Petals Marc Jacobs for women,for women, - fruity - floral - fresh - sweet - tropical - citrus - fresh spicy - coconut, 31.0811%, 12.1622%, 56.7568%, 33.3333%, 100%, 22.2222%, 33.3333%, 22.2222%, 8.33333%, 83.3333%, 83.3333%, 33.3333%, 100%, 16.6667%
Daisy Dream Sunshine Marc Jacobs for women,for women, - sweet - fruity - white floral - musky - cherry - aldehydic - citrus - powdery, 40.4412%, 14.7059%, 44.8529%, 28.5714%, 100%, 12.8571%, 28.5714%, 0%, 0%, 68.0851%, 100%, 10.6383%, 95.7447%, 4.25532%
Daisy Eau So Fresh Daze Marc Jacobs for women,for women, - fruity - floral - sweet, 33.8782%, 8.17236%, 57.9495%, 100%, 94.7369%, 50%, 42.1053%, 0%, 1.66667%, 100%, 100%, 25%, 95%, 11.6667%
Daisy Eau So Fresh Paradise Limited Edition Eau de Toilette Marc Jacobs for women,for women, - floral - lavender - woody - soft spicy - aromatic, 42.5806%, 6.12903%, 51.2903%, 63.6364%, 100%, 77.2727%, 27.2727%, 9.09091%, 19.2308%, 92.3077%, 84.6154%, 19.2308%, 100%, 11.5385%
Daisy Eau So Fresh Petals Marc Jacobs for women,for women, - fruity - sweet - powdery - green - floral - violet - fresh - woody - citrus - musky, 38.6364%, 10.2273%, 51.1364%, 30%, 100%, 70%, 0%, 0%, 11.1111%, 100%, 77.7778%, 33.3333%, 55.5556%, 22.2222%
Daisy Eau So Fresh Skies Marc Jacobs for women,for women, - powdery - woody - green - aromatic - herbal - violet - camphor - sweet - floral - musky, 34.0426%, 5.05319%, 60.9043%, 96.5517%, 100%, 55.1724%, 34.4828%, 0%, 0%, 100%, 86.1111%, 13.8889%, 100%, 5.55556%
Daisy Eau So Fresh Spring Marc Jacobs for women,for women, - green - powdery, 37.8788%, 8.52273%, 53.5985%, 66.6667%, 100%, 50%, 21.4286%, 4.7619%, 2.12766%, 100%, 72.3404%, 8.51064%, 89.3617%, 4.25532%
Daisy Eau So Fresh Sunshine Marc Jacobs for women,for women, - yellow floral - powdery - fruity - sweet - floral - green - aromatic - fresh - soft spicy - aquatic, 42.4528%, 14.8585%, 42.6887%, 91.3044%, 100%, 21.7391%, 36.9565%, 2.17391%, 7.84314%, 100%, 88.2353%, 9.80392%, 100%, 1.96078%
Daisy Eau So Intense Marc Jacobs for women,for women, - sweet - fruity - honey - vanilla - musky - amber - powdery - floral - white floral - mossy, 49.0297%, 10.8911%, 40.0792%, 87.2263%, 100%, 41.6058%, 24.0876%, 6.20438%, 28.5714%, 100%, 77.8571%, 56.0714%, 98.2143%, 28.2143%
Daisy Garland Marc Jacobs for women,for women, - floral - violet - powdery, 28.8014%, 23.7925%, 47.4061%, 84.2857%, 100%, 5.71429%, 35.7143%, 2.85714%, 7.01754%, 100%, 52.6316%, 26.3158%, 92.9825%, 28.0702%
Daisy Hot Pink Marc Jacobs for women,for women, - white floral - woody - fruity - sweet - violet - powdery - floral, 28.9474%, 17.8947%, 53.1579%, 70.9091%, 100%, 2.72727%, 20%, 0%, 22.2222%, 77.7778%, 65.0794%, 39.6825%, 100%, 26.9841%
Daisy Love Marc Jacobs for women,for women, - fruity - musky - floral - aromatic - woody - sweet - powdery - marine - herbal - green, 58.1378%, 17.3808%, 24.4815%, 76.8559%, 100%, 25.8734%, 20.3057%, 2.83843%, 15.358%, 93.418%, 79.4457%, 30.7159%, 100%, 18.1293%
Daisy Love Daze Marc Jacobs for women,for women, - fruity - lactonic - floral - powdery - amber - sweet, 41.0783%, 10.1412%, 48.7805%, 100%, 96.4286%, 32.1429%, 32.1429%, 3.57143%, 12.5%, 81.9444%, 91.6667%, 22.2222%, 100%, 20.8333%
Daisy Love Eau So Sweet Marc Jacobs for women,for women, - sweet - fruity - musky - powdery - vanilla, 50.5472%, 11.2631%, 38.1897%, 100%, 78.0303%, 25.7576%, 14.0152%, 3.0303%, 17.3664%, 94.6565%, 76.3359%, 22.3282%, 100%, 17.3664%
Daisy Love Eau So Sweet Petals Marc Jacobs for women,for women, - sweet - fruity - iris - violet - powdery, 39.5161%, 8.06452%, 52.4194%, 90%, 100%, 30%, 0%, 0%, 16.6667%, 91.6667%, 83.3333%, 58.3333%, 100%, 25%
Daisy Love Paradise Limited Edition Eau de Toilette Marc Jacobs for women,for women, - iris - sweet - patchouli - earthy - woody - powdery - vanilla - violet - lactonic - warm spicy, 39.8148%, 6.94444%, 53.2407%, 71.4286%, 100%, 64.2857%, 33.3333%, 11.9048%, 23.913%, 100%, 78.2609%, 45.6522%, 97.8261%, 26.087%
Daisy Love Petals Marc Jacobs for women,for women, - musky - woody - floral - powdery - sweet - fruity - marine - herbal - aromatic - green, 28.9855%, 11.5942%, 59.4203%, 100%, 100%, 40%, 60%, 0%, 16.6667%, 83.3333%, 50%, 66.6667%, 100%, 16.6667%
Daisy Love Skies Marc Jacobs for women,for women, - sweet - fruity - salty - vanilla - mossy - floral - woody - lactonic - marine - earthy, 32.4766%, 5.7243%, 61.7991%, 98.3871%, 100%, 32.2581%, 16.129%, 0%, 12.6984%, 95.2381%, 100%, 19.0476%, 96.8254%, 15.873%
ATH x FM Smoulder Aaron Terence Hughes for women and men,for women and men, - woody - amber - warm spicy - fresh spicy - citrus - tobacco - powdery - balsamic - aromatic - patchouli, 59.8131%, 12.1495%, 28.0374%, 100%, 33.3333%, 22.2222%, 11.1111%, 11.1111%, 100%, 55.5556%, 11.1111%, 92.5926%, 40.7407%, 92.5926%
Daisy Love Spring Marc Jacobs for women,for women, - fruity - floral - fresh - sweet - rose - woody, 40.3537%, 8.5209%, 51.1254%, 69.3548%, 100%, 40.3226%, 17.7419%, 6.45161%, 5.71429%, 100%, 84.2857%, 20%, 82.8572%, 12.8571%
Daisy Love Sunshine Marc Jacobs for women,for women, - citrus - floral - fresh spicy - aromatic - woody - fruity - musky - fresh, 45.7534%, 12.0548%, 42.1918%, 52%, 100%, 16%, 38%, 0%, 8%, 62%, 86%, 30%, 100%, 16%
Daisy Paradise Limited Edition Eau de Toilette Marc Jacobs for women,for women, - floral - woody - amber - fresh spicy - sweet - musky, 36.2805%, 6.40244%, 57.3171%, 56.25%, 100%, 100%, 21.875%, 12.5%, 12.9032%, 96.7742%, 90.3226%, 16.129%, 100%, 12.9032%
Daisy Petals Marc Jacobs for women,for women, - ozonic - aquatic - violet - powdery - white floral - woody - green - citrus - musky - floral, 40.678%, 15.2542%, 44.0678%, 30%, 100%, 20%, 20%, 0%, 7.14286%, 85.7143%, 71.4286%, 21.4286%, 100%, 14.2857%
Daisy Shine Gold Edition Marc Jacobs for women,for women, - white floral - ozonic - aquatic - fruity - sweet - powdery - green - woody - vanilla, 38.0952%, 21.6931%, 40.2116%, 100%, 64.2857%, 0%, 14.2857%, 0%, 0%, 100%, 76.9231%, 30.7692%, 92.3077%, 15.3846%
Daisy Shine Pink Edition Marc Jacobs for women,for women, - white floral - ozonic - citrus - powdery - aquatic - violet - woody - fruity - sweet - vanilla, 29.9145%, 11.9658%, 58.1197%, 50%, 100%, 0%, 50%, 0%, 14.2857%, 42.8571%, 57.1429%, 14.2857%, 100%, 14.2857%
Daisy Shine Red Marc Jacobs for women,for women, - fruity - sweet - citrus - ozonic - woody - aquatic - violet - powdery - earthy - white floral, 25.1163%, 12.093%, 62.7907%, 35.7143%, 100%, 0%, 42.8571%, 0%, 0%, 85.7143%, 71.4286%, 28.5714%, 100%, 71.4286%
Daisy Skies Marc Jacobs for women,for women, - aquatic - ozonic - floral - powdery - marine - mineral - violet - musky - woody - aromatic, 36.9198%, 6.75105%, 56.3291%, 52.9412%, 100%, 37.2549%, 23.5294%, 0%, 4%, 84%, 100%, 8%, 82%, 8%
Daisy Spring Marc Jacobs for women,for women, - rose - warm spicy - woody - amber - floral - aromatic - sweet - balsamic, 48.2517%, 8.04196%, 43.7063%, 34.2857%, 100%, 40%, 34.2857%, 5.71429%, 5.88235%, 100%, 61.7647%, 14.7059%, 79.4118%, 5.88235%
Daisy Sunshine Marc Jacobs for women,for women, - fruity - sweet - aromatic - balsamic - woody - herbal - violet - fresh spicy - floral - bitter, 39.4984%, 13.0094%, 47.4922%, 50.9804%, 100%, 20.5882%, 32.3529%, 0%, 3.61446%, 74.6988%, 87.9518%, 15.6627%, 100%, 13.253%
White Tulip & Barley Massimo Dutti for women and men,for women and men, - aromatic - floral - woody - musky - herbal - balsamic - powdery - fresh spicy - sweet - citrus, 49.2683%, 5.85366%, 44.878%, 100%, 61.2903%, 0%, 0%, 3.22581%, 29.0323%, 100%, 74.1936%, 54.8387%, 96.7742%, 29.0323%
Mauboussin Homme Mauboussin for men,for men, - aromatic - woody - warm spicy - lavender - fresh spicy - cinnamon - patchouli - powdery - herbal - vanilla, 53.4309%, 13.5407%, 33.0284%, 100%, 79.8913%, 15.7609%, 19.0217%, 2.17391%, 77.8325%, 72.9064%, 19.2118%, 100%, 76.8473%, 81.7734%
Mauboussin Topaze Mauboussin for women,for women, - amber - citrus - fresh spicy - leather - animalic - warm spicy - aromatic, 9.73451%, 4.42478%, 85.8407%, 100%, 62.5%, 0%, 50%, 0%, 81.8182%, 27.2727%, 27.2727%, 81.8182%, 90.9091%, 100%
Addictive Oriental by Alberto Morillas Mercedes-Benz for men,for men, - aromatic - green - woody - lavender - fresh spicy - amber - vanilla - fresh - sweet - warm spicy, 39.2097%, 11.8541%, 48.9362%, 94.5946%, 100%, 16.2162%, 18.9189%, 8.10811%, 28.5714%, 91.4286%, 37.1429%, 100%, 82.8572%, 65.7143%
Alma de Rosario Mizensir for women and men,for women and men, - white floral - fresh - ozonic - musky - citrus - floral - green - aquatic, 28.2353%, 7.05882%, 64.7059%, 78.5714%, 100%, 57.1429%, 64.2857%, 0%, 0%, 100%, 84.2105%, 15.7895%, 89.4737%, 15.7895%
Ambre Magique Mizensir for women and men,for women and men, - amber - vanilla - warm spicy - animalic - citrus - rose - balsamic - white floral - aromatic - sweet, 29.406%, 6.32911%, 64.2649%, 100%, 68.5714%, 33.3333%, 7.61905%, 10.4762%, 87.2093%, 67.4419%, 25.5814%, 100%, 73.2558%, 74.4186%
Anticonformiste Mizensir for women and men,for women and men, - ozonic - green - fresh spicy - fresh - mineral - aromatic - aquatic - white floral - patchouli - warm spicy, 19%, 7%, 74%, 100%, 71.4286%, 71.4286%, 100%, 42.8571%, 0%, 81.8182%, 100%, 45.4545%, 54.5455%, 45.4545%
Blue Gin Mizensir for women and men,for women and men, - aromatic - fresh spicy - citrus - warm spicy - woody - aquatic - amber - fresh - fruity - vanilla, 20.8672%, 8.67209%, 70.4607%, 100%, 60.7143%, 60.7143%, 71.4286%, 21.4286%, 16.6667%, 85.7143%, 88.0952%, 47.6191%, 100%, 30.9524%
Bois de Mysore Mizensir for women and men,for women and men, - woody - citrus - white floral - warm spicy - powdery - musky - aromatic - sweet - ozonic - green, 25.3589%, 9.09091%, 65.5502%, 92.1053%, 100%, 44.7368%, 28.9474%, 2.63158%, 70.3704%, 77.7778%, 51.8519%, 100%, 96.2963%, 59.2593%
Bois Iridescent Mizensir for women and men,for women and men, - citrus - woody - powdery - iris - floral - green - ozonic - fresh spicy - amber - violet, 19.6721%, 7.96253%, 72.3653%, 92.1053%, 100%, 34.2105%, 18.4211%, 0%, 25%, 100%, 72.5%, 47.5%, 90%, 30%
Celebes Wood Mizensir for women and men,for women and men, - warm spicy - vanilla - cinnamon - amber - aromatic - sweet - fresh spicy, 22.1491%, 7.45614%, 70.3947%, 100%, 94.5946%, 29.7297%, 27.027%, 0%, 97.3684%, 60.5263%, 7.89474%, 100%, 73.6842%, 81.579%
Coeur de Cologne Mizensir for women and men,for women and men, - citrus - white floral - floral - aromatic - sweet, 16.9492%, 13.5593%, 69.4915%, 100%, 75%, 25%, 12.5%, 0%, 20%, 50%, 80%, 20%, 100%, 10%
Cologne de Figuier Mizensir for women and men,for women and men, - citrus - musky - green - amber - fresh spicy - woody - fresh - aromatic - powdery, 23.0769%, 8.97436%, 67.9487%, 64.2857%, 100%, 35.7143%, 28.5714%, 7.14286%, 30.4348%, 95.6522%, 56.5217%, 86.9565%, 100%, 47.8261%
Cologne du Maté Mizensir for women and men,for women and men, - citrus - aromatic - musky - aldehydic - woody - white floral - herbal - powdery - fresh spicy - mineral, 17.4757%, 7.76699%, 74.7573%, 100%, 86.6667%, 26.6667%, 20%, 6.66667%, 29.4118%, 100%, 82.3529%, 52.9412%, 94.1176%, 17.6471%
Eau de Gingembre Mizensir for women and men,for women and men, - citrus - warm spicy - aromatic - woody - fresh spicy - fresh - green - white floral, 22.9752%, 5.12397%, 71.9008%, 81.6901%, 100%, 38.0282%, 11.2676%, 1.40845%, 6.41026%, 75.641%, 100%, 23.0769%, 87.1795%, 7.69231%
Edition de Veronique Mizensir for women,for women, - rose - woody - aromatic - fresh spicy - amber - iris - white floral - floral - powdery - musky, 16.092%, 9.1954%, 74.7127%, 100%, 95.2381%, 47.6191%, 19.0476%, 9.52381%, 50%, 100%, 71.4286%, 64.2857%, 92.8571%, 71.4286%
Elixir de Musc Mizensir for women and men,for women and men, - powdery - musky - amber - iris - vanilla - woody - almond - violet, 18.7328%, 8.26446%, 73.0028%, 100%, 75.7576%, 48.4848%, 30.303%, 3.0303%, 56.5217%, 100%, 65.2174%, 82.6087%, 95.6522%, 39.1304%
Épine de Rose Mizensir for women and men,for women and men, - rose - citrus - soft spicy - woody - warm spicy - floral - sweet - musky - fresh spicy, 20%, 2%, 78%, 50%, 50%, 50%, 100%, 25%, 14.2857%, 100%, 71.4286%, 42.8571%, 85.7143%, 57.1429%
For Your Love Mizensir for women and men,for women and men, - amber - fruity - patchouli - sweet - musky - warm spicy - animalic - balsamic - woody - powdery, 28.6648%, 7.84314%, 63.4921%, 100%, 86.7725%, 37.037%, 21.6931%, 8.46561%, 75.4967%, 98.6755%, 45.6954%, 100%, 87.4172%, 77.4834%
Golden Oud Mizensir for women and men,for women and men, - woody - oud - amber - rose - balsamic - fresh spicy - aromatic - musky - leather, 35.3135%, 7.26073%, 57.4257%, 100%, 32.7869%, 14.7541%, 4.91803%, 3.27869%, 100%, 59.1837%, 8.16327%, 81.6327%, 34.6939%, 91.8367%
Ideal Oud Mizensir for women and men,for women and men, - rose - woody - oud - warm spicy - leather - floral - metallic - amber, 33.0049%, 12.8079%, 54.1872%, 71.4286%, 100%, 28.5714%, 16.3265%, 4.08163%, 85.2941%, 76.4706%, 41.1765%, 100%, 91.1765%, 88.2353%
Incensum Mizensir for women and men,for women and men, - amber - woody - warm spicy - leather - smoky - balsamic - animalic, 24.4604%, 7.91367%, 67.6259%, 100%, 100%, 26.3158%, 31.5789%, 5.26316%, 100%, 34.7826%, 4.34783%, 100%, 82.6087%, 95.6522%
L'Envers du Paradis Mizensir for women and men,for women and men, - musky - citrus - amber - fresh spicy - aromatic - powdery - soft spicy - warm spicy, 28.8288%, 11.7117%, 59.4595%, 93.75%, 100%, 18.75%, 56.25%, 0%, 18.75%, 100%, 100%, 50%, 100%, 25%
L'Ombre du Lys Mizensir for women and men,for women and men, - white floral - citrus - tuberose - floral - fresh - green - musky - powdery - animalic - woody, 22.8916%, 6.0241%, 71.0843%, 84.6154%, 100%, 15.3846%, 38.4615%, 7.69231%, 20%, 100%, 40%, 50%, 90%, 50%
Little Bianca Mizensir for women and men,for women and men, - citrus - aromatic - woody - earthy - fresh spicy, 14.2857%, 7.14286%, 78.5714%, 18.75%, 100%, 12.5%, 12.5%, 6.25%, 11.1111%, 55.5556%, 100%, 11.1111%, 88.8889%, 11.1111%
Lovely Alba Mizensir for women,for women, - citrus - white floral - iris - fresh spicy - powdery - aromatic - floral, 11.8421%, 10.5263%, 77.6316%, 100%, 58.3333%, 16.6667%, 25%, 8.33333%, 20%, 100%, 80%, 40%, 80%, 20%
Luxury Mizensir for women,for women, - powdery - musky - amber - citrus - iris - vanilla - white floral - sweet - violet - earthy, 29.5165%, 9.41476%, 61.0687%, 68.8525%, 100%, 26.2295%, 26.2295%, 6.55738%, 40.9091%, 81.8182%, 75%, 86.3636%, 100%, 43.1818%
Musc Eternel Mizensir for women and men,for women and men, - musky - powdery - iris - floral - sweet - vanilla - amber - violet - earthy - white floral, 25.9136%, 8.13954%, 65.9468%, 100%, 70.5882%, 29.4118%, 18.8235%, 7.05882%, 100%, 73.7705%, 39.3443%, 95.082%, 93.4426%, 72.1311%
Mythique Vetyver Mizensir for women and men,for women and men, - woody - aromatic - citrus - fresh spicy - earthy - amber - green, 21.9178%, 15.7534%, 62.3288%, 57.1429%, 100%, 46.4286%, 35.7143%, 7.14286%, 28.5714%, 89.2857%, 92.8571%, 60.7143%, 100%, 32.1429%
Original Oud Mizensir for women and men,for women and men, - woody - oud - leather - animalic - fresh spicy - iris - aromatic - powdery - warm spicy, 27.551%, 9.18367%, 63.2653%, 100%, 78.5714%, 21.4286%, 42.8571%, 7.14286%, 100%, 53.3333%, 20%, 93.3333%, 86.6667%, 93.3333%
Palissandre Night Mizensir for women and men,for women and men, - woody - balsamic - amber - aromatic - musky - earthy - warm spicy - powdery, 22.2222%, 8.33333%, 69.4444%, 100%, 28.5714%, 28.5714%, 0%, 0%, 100%, 75%, 0%, 100%, 25%, 100%
Perfect Oud Mizensir for women and men,for women and men, - woody - aromatic - oud - fresh spicy - rose - iris - powdery - citrus - floral - violet, 27.5988%, 4.83163%, 67.5696%, 100%, 62.3377%, 21.4286%, 7.79221%, 2.5974%, 100%, 82.1705%, 62.0155%, 100%, 82.9457%, 93.7985%
Poudre d'Or Mizensir for women and men,for women and men, - powdery - white floral - musky - woody - vanilla - iris - sweet - violet, 28.6278%, 6.21915%, 65.153%, 100%, 58.5185%, 23.7037%, 6.66667%, 1.48148%, 66.6667%, 88.4615%, 76.9231%, 96.1539%, 100%, 43.5897%
Rose Exaltante Mizensir for women,for women, - rose - floral - animalic - musky - oud - herbal, 29.0698%, 12.7907%, 58.1395%, 92.3077%, 92.3077%, 61.5385%, 100%, 15.3846%, 50%, 100%, 62.5%, 56.25%, 93.75%, 50%
Solar Blossom Mizensir for women and men,for women and men, - white floral - citrus - vanilla - floral - fresh - sweet, 18.4012%, 3.77074%, 77.8281%, 100%, 45.7831%, 15.6627%, 14.4578%, 4.81928%, 19.6429%, 100%, 96.4286%, 42.8571%, 96.4286%, 35.7143%
Sweet Praline Mizensir for women and men,for women and men, - amber - fruity - sweet - white floral - floral - warm spicy - musky - fresh, 28.6119%, 9.2068%, 62.1813%, 74.026%, 100%, 41.5584%, 45.4545%, 0%, 67.2414%, 96.5517%, 44.8276%, 100%, 94.8276%, 53.4483%
Tender Oud Mizensir for women and men,for women and men, - woody - aromatic - warm spicy - citrus - marine - earthy - fresh spicy - metallic - leather - salty, 29.0698%, 8.13954%, 62.7907%, 100%, 80%, 33.3333%, 26.6667%, 0%, 58.8235%, 88.2353%, 64.7059%, 94.1176%, 100%, 47.0588%
Tres Chere Mizensir for women,for women, - vanilla - white floral - powdery - woody - marine - amber - aromatic - sweet - citrus - balsamic, 28.7547%, 5.66542%, 65.5799%, 100%, 59.322%, 30.0847%, 10.1695%, 0.423729%, 44.9102%, 95.2096%, 79.0419%, 85.0299%, 100%, 49.1018%
Vert Empire Mizensir for women and men,for women and men, - citrus - amber - aromatic - warm spicy - musky - powdery - woody - herbal - white floral - green, 19.6809%, 2.65957%, 77.6596%, 66.6667%, 100%, 19.0476%, 47.6191%, 0%, 8%, 80%, 100%, 32%, 84%, 12%
Very Musc Mizensir for women and men,for women and men, - amber - musky - vanilla - aromatic - animalic - smoky - sweet - powdery - balsamic - citrus, 14.876%, 7.43802%, 77.686%, 47.0588%, 100%, 5.88235%, 17.6471%, 17.6471%, 83.3333%, 41.6667%, 16.6667%, 100%, 66.6667%, 66.6667%
